id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
1,Methanopyrus kandleri,2320,116,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,,,,AB301476,67.7,85,100,,,122,37
2,"""Geogemma barossii""",1927912,121,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,,,,,,85,106,,,121,36
3,Pyrolobus fumarii,54252,1A,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,GCA_000223395.1,54.9,1.8,X99555,68.4,90,106,,,113,23
4,Pyrococcus kukulkanii,1609559,NCB100,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_001577775.1,44.6,2,CP010835,66.5,70,105,,,112,42
5,Methanopyrus kandleri,2320,AV19,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,GCA_000007185.1,61.2,1.7,NR_074539,68.1,84,98,,,110,38
6,Pyrodictium brockii,35616,S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,62,,NR_104987,68.7,80,105,,,110,30
7,Pyrodictium occultum,2309,PL-19,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,63.5,,M21087,68.7,82,105,,,110,28
8,Pyrodictium abyssi,54256,AV2,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,59,,NR_104986,69.1,80,97,,,110,30
9,Pyrococcus yayanosii,1008460,CH1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000215995.1,51.6,1.7,EU682399,66.7,80,98,,,108,28
10,Hyperthermus butylicus,54248,DSM 5456,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,GCA_000015145.1,53.7,1.7,X99553,66.3,72,100.5,95,106,108,36
11,Pyrobaculum aerophilum,13773,IM2 ,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000007225.1,51.4,2.2,L07510,60.2,75,100,,,104,29
12,Pyrococcus glycovorans,74610,AL585,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,,47,,Z70247,67.3,75,95,,,104,29
